product_id,review_count_observed,review_avg_rating,recommendation_rate,avg_helpfulness,avg_review_length,skin_share_dry,theme_lightweight_count,theme_greasy_count,theme_hydrating_count,theme_drying_count,theme_fragrance_count,theme_irritation_count,theme_breakout_count,theme_absorption_count,theme_sticky_count,theme_texture_count,theme_effective_count,skin_share_unknown,skin_share_combination,skin_share_normal,skin_share_oily,skin_share_sensitive
P4016,2572,4.234836702954899,0.8071519795657727,0.7994217388999927,329.61936236391915,0.04937791601866252,3,452,277,817,155,368,1746,2,2,813,882,0.208398133748056,0.4774494556765163,0.05171073094867807,0.2130637636080871,0.0
P406712,2563,4.186890362856028,0.8011126564673157,0.77589646586781,345.32422941865,0.21186110027311744,234,569,1603,873,156,320,285,237,197,949,503,0.09949278189621537,0.46195864221615296,0.129535700351151,0.09715177526336324,0.0
P415777,2555,4.29119373776908,0.8179795282599021,0.7845585181097464,403.87710371819963,0.16477495107632095,1,137,166,284,33,794,645,20,13,936,889,0.13620352250489237,0.47906066536203523,0.11154598825831702,0.10841487279843444,0.0
P422510,2517,4.44735796583234,0.8826121794871795,0.790800457331352,310.2296384584823,0.2824791418355185,378,796,1716,904,422,493,376,268,118,1112,438,0.023043305522447356,0.47000397298371077,0.13825983313468415,0.08621374652363925,0.0
P421996,2517,4.44735796583234,0.8826121794871795,0.790800457331352,310.2296384584823,0.2824791418355185,378,796,1716,904,422,493,376,268,118,1112,438,0.023043305522447356,0.47000397298371077,0.13825983313468415,0.08621374652363925,0.0
P411403,2487,4.616807398472055,0.9493365500603136,0.7777470752758824,374.41214314435064,0.19099316445516687,116,731,1418,439,747,265,224,380,174,1437,594,0.007639726578206675,0.5424205870526739,0.16606353035786087,0.09288299155609167,0.0
P415771,2483,4.444220700765204,0.8878661087866109,0.7572712131985867,378.8642770841724,0.1747885622231172,111,206,623,327,310,219,196,287,131,1283,583,0.045106725734997986,0.5436971405557793,0.12847362062021747,0.10793395086588804,0.0
P473160,2483,4.444220700765204,0.8878661087866109,0.7572712131985867,378.8642770841724,0.1747885622231172,111,206,623,327,310,219,196,287,131,1283,583,0.045106725734997986,0.5436971405557793,0.12847362062021747,0.10793395086588804,0.0
P479860,2466,4.285482562854826,0.8179237631792377,0.7729772097070895,364.2007299270073,0.2935928629359286,57,565,1474,1052,358,538,325,203,69,1126,433,0.023519870235198703,0.5028386050283861,0.11232765612327657,0.06772100567721005,0.0
P442840,2466,4.285482562854826,0.8179237631792377,0.7729772097070895,364.2007299270073,0.2935928629359286,57,565,1474,1052,358,538,325,203,69,1126,433,0.023519870235198703,0.5028386050283861,0.11232765612327657,0.06772100567721005,0.0
P504595,2453,4.502242152466367,0.896453322462291,0.7254642800096958,303.48960456583774,0.2119853240929474,8,202,343,697,735,473,322,4,9,1412,293,0.014675907052588666,0.5132490827558092,0.1402364451691806,0.11985324092947411,0.0
P461537,2453,4.502242152466367,0.896453322462291,0.7254642800096958,303.48960456583774,0.2119853240929474,8,202,343,697,735,473,322,4,9,1412,293,0.014675907052588666,0.5132490827558092,0.1402364451691806,0.11985324092947411,0.0
P440651,2449,4.236014699877501,0.8045454545454546,0.8021507325457103,329.85136790526747,0.048591261739485504,3,435,261,784,148,347,1655,2,2,785,840,0.217639853001225,0.4728460596161699,0.05022458146182115,0.21069824418129848,0.0
P393718,2444,4.080196399345335,0.7662745098039215,0.744225763461702,441.5904255319149,0.10147299509001637,13,356,366,370,677,392,749,166,12,747,787,0.49345335515548283,0.27618657937806873,0.07364975450081833,0.05523731587561375,0.0
P42205,2441,4.5591970503891845,0.8381877022653722,0.7791046384308074,231.48832445718966,0.0823433019254404,9,95,699,350,748,36,8,11,302,520,254,0.34289225727161,0.3441212617779599,0.13437115936091765,0.0962720196640721,0.0
P376726,2419,4.396031417941298,0.8183229813664596,0.8236192273944508,396.9020256304258,0.09011988424968996,49,847,841,788,378,300,738,309,21,709,492,0.5985944605208764,0.20711037618850764,0.051260851591566764,0.05291442744935924,0.0
P461933,2412,4.0464344941956885,0.7918739635157546,0.6308125975434897,295.93905472636817,0.16169154228855723,98,297,544,210,473,207,227,198,208,1182,602,0.007462686567164179,0.5766998341625207,0.14220563847429518,0.11194029850746269,0.0
P461160,2412,4.0464344941956885,0.7918739635157546,0.6308125975434897,295.93905472636817,0.16169154228855723,98,297,544,210,473,207,227,198,208,1182,602,0.007462686567164179,0.5766998341625207,0.14220563847429518,0.11194029850746269,0.0
P461159,2412,4.0464344941956885,0.7918739635157546,0.6308125975434897,295.93905472636817,0.16169154228855723,98,297,544,210,473,207,227,198,208,1182,602,0.007462686567164179,0.5766998341625207,0.14220563847429518,0.11194029850746269,0.0
